title,price_gbp,category_name
Boar Island (Anna Pigeon #19),59.48,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,Mystery
A Year in Provence (Provence #1),56.88,Travel
The Past Never Ends,56.5,Mystery
The Last Painting of Sara de Vos,55.55,Historical Fiction
A Flight of Arrows (The Pathfinders #2),55.53,Historical Fiction
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,Mystery
The Last Mile (Amos Decker #2),54.21,Mystery
1st to Die (Women's Murder Club #1),53.98,Mystery
Tipping the Velvet,53.74,Historical Fiction
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,Mystery
The Guernsey Literary and Potato Peel Pie Society,49.53,Historical Fiction
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,Travel
See America: A Celebration of Our National Parks & Treasured Sites,48.87,Travel
A Time of Torment (Charlie Parker #14),48.35,Mystery
Sharp Objects,47.82,Mystery
Girl in the Blue Coat,46.83,Historical Fiction
Glory over Everything: Beyond The Kitchen House,45.84,Historical Fiction
It's Only the Himalayas,45.17,Travel
A Summer In Europe,44.34,Travel
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,Mystery
The Exiled,43.45,Mystery
While You Were Mine,41.32,Historical Fiction
A Paris Apartment,39.01,Historical Fiction
Neither Here nor There: Travels in Europe,38.95,Travel
In the Woods (Dublin Murder Squad #1),38.38,Mystery
The Invention of Wings,37.34,Historical Fiction
Under the Tuscan Sun,37.33,Travel
The House by the Lake,36.95,Historical Fiction
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,Travel
The Red Tent,35.66,Historical Fiction
Most Wanted,35.28,Mystery
The Secret Healer,34.56,Historical Fiction
World Without End (The Pillars of the Earth #2),32.97,Historical Fiction
The Great Railway Bazaar,30.54,Travel
Mrs. Houdini,30.25,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Historical Fiction
The Passion of Dolssa,28.32,Historical Fiction
The Marriage of Opposites,28.08,Historical Fiction
Lost Among the Living,27.7,Historical Fiction
The Widow,27.26,Mystery
Poisonous (Max Revere Novels #3),26.8,Mystery
Girl With a Pearl Earring,26.77,Historical Fiction
"1,000 Places to See Before You Die",26.08,Travel
Starlark,25.83,Historical Fiction
Extreme Prey (Lucas Davenport #26),25.4,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,Mystery
Career of Evil (Cormoran Strike #3),24.72,Mystery
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,Travel
The Silkworm (Cormoran Strike #2),23.05,Mystery
Voyager (Outlander #3),21.07,Historical Fiction
Delivering the Truth (Quaker Midwife Mystery #1),20.89,Mystery
Between Shades of Gray,20.79,Historical Fiction
"Love, Lies and Spies",20.55,Historical Fiction
Blood Defense (Samantha Brinkman #1),20.3,Mystery
"In a Dark, Dark Wood",19.63,Mystery
The Cuckoo's Calling (Cormoran Strike #1),19.21,Mystery
Lilac Girls,17.28,Historical Fiction
A Spy's Devotion (The Regency Spies of London #1),16.97,Historical Fiction
A Study in Scarlet (Sherlock Holmes #1),16.73,Mystery
A Murder in Time,16.64,Mystery
The Constant Princess (The Tudor Court #1),16.62,Historical Fiction
The Girl In The Ice (DCI Erika Foster #1),15.85,Mystery
That Darkness (Gardiner and Renner #1),13.92,Mystery
Playing with Fire,13.71,Mystery
The Girl You Lost,12.29,Mystery
Hide Away (Eve Duncan #20),11.84,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,Mystery
